Detailed Statistics Departures  
Origin Airport: Atlanta, GA: Hartsfield-Jackson Atlanta International (ATL)
Airline: Alaska Airlines Inc. (AS)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2015, 2016, 2017, 2018 and 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","01/20/2016","0745","N477AS","SEA","18:40","18:35","340","326","-5","18:48","13","0","0","0","0","0"
"AS","01/20/2016","0749","N419AS","SEA","07:00","07:02","335","314","2","07:13","11","0","0","0","0","0"
"AS","01/20/2017","0749","N442AS","SEA","07:05","06:51","335","315","-14","07:07","16","0","0","0","0","0"
"AS","01/20/2017","0777","N553AS","SEA","18:40","18:46","335","293","6","18:59","13","0","0","0","0","0"
"AS","01/20/2018","0745","N448AS","SEA","15:52","15:46","345","314","-6","15:56","10","0","0","0","0","0"
"AS","01/20/2019","0745","N237AK","SEA","15:00","14:58","345","364","-2","15:17","19","0","0","17","0","0"
"AS","01/21/2015","0745","N459AS","SEA","18:10","18:10","340","321","0","18:21","11","0","0","0","0","0"
"AS","01/21/2016","0745","N467AS","SEA","18:40","18:37","340","315","-3","18:55","18","0","0","0","0","0"
"AS","01/21/2016","0749","N487AS","SEA","07:00","06:59","335","326","-1","07:14","15","0","0","0","0","0"
"AS","01/21/2017","0749","N409AS","SEA","07:05","06:50","335","289","-15","07:02","12","0","0","0","0","0"
"AS","01/21/2017","0777","N479AS","SEA","18:40","18:33","335","299","-7","18:43","10","0","0","0","0","0"
"AS","01/21/2018","0745","N434AS","SEA","15:52","15:55","345","306","3","16:11","16","0","0","0","0","0"
"AS","01/21/2019","0745","N472AS","SEA","15:00","15:01","345","333","1","15:29","28","0","0","0","0","0"
"AS","01/22/2015","0745","N440AS","SEA","18:10","18:41","340","303","31","18:52","11","0","0","0","0","0"
"AS","01/22/2016","0745","N457AS","SEA","18:40","18:33","340","363","-7","19:26","53","0","0","16","0","0"
